ProductID,ProductImage,ProductName
955563,https://resim.epey.com/955563/b_samsung-galaxy-z-fold6-2.png,Samsung Galaxy Z Fold6 256 GB Cep Telefonu
945305,https://resim.epey.com/945305/b_realme-gt-6-1.png,realme GT 6 16 GB / 512 GB (RMX3851) Cep Telefonu
841686,https://resim.epey.com/841686/b_oneplus-11-2.png,OnePlus 11 Cep Telefonu
963406,https://resim.epey.com/963406/b_xiaomi-14t-512gb-1.png,Xiaomi 14T 512 GB Cep Telefonu
884234,https://resim.epey.com/884234/b_samsung-galaxy-z-fold5-1tb-1.png,Samsung Galaxy Z Fold5 1 TB (SM-F956B) Cep Telefonu
941058,https://resim.epey.com/941058/b_honor-200-pro-13.png,Honor 200 Pro (ELP-NX9) Cep Telefonu
973688,https://resim.epey.com/973688/b_oppo-reno-13-pro-2.png,Oppo Reno 13 Pro 5G (CPH2697) Cep Telefonu
994887,https://resim.epey.com/994887/b_apple-iphone-16e-512gb-1.png,Apple iPhone 16e 512 GB Cep Telefonu
959779,https://resim.epey.com/959779/b_apple-iphone-16-2.png,Apple iPhone 16 128 GB Cep Telefonu
958540,https://resim.epey.com/958540/b_xiaomi-14t-1.png,Xiaomi 14T 256 GB Cep Telefonu
963088,https://resim.epey.com/963088/b_nubia-red-magic-9s-pro-512gb-2.png,Nubia Red Magic 9S Pro 16 GB / 512 GB Cep Telefonu
934802,https://resim.epey.com/934802/b_huawei-pura-70-ultra-18.png,Huawei Pura 70 Ultra (HBP-LX9) Cep Telefonu
890830,https://resim.epey.com/890830/b_xiaomi-13t-pro-5.png,Xiaomi 13T Pro Cep Telefonu
986894,https://resim.epey.com/986894/b_poco-x7-pro-512gb-2.png,Poco X7 Pro 12 GB / 512 GB Cep Telefonu
940913,https://resim.epey.com/940913/b_poco-f6-pro-1tb-1.png,Poco F6 Pro 16 GB / 1 TB Cep Telefonu
920038,https://resim.epey.com/reklam/1586_1312699179_ust.png?v=5,Samsung Galaxy S24 Ultra
949023,https://resim.epey.com/949023/b_samsung-galaxy-z-flip6-512gb-1.png,Samsung Galaxy Z Flip6 512 GB (SM-F741B) Cep Telefonu
994886,https://resim.epey.com/994886/b_apple-iphone-16e-256gb-1.png,Apple iPhone 16e 256 GB Cep Telefonu
884193,https://resim.epey.com/884193/b_samsung-galaxy-z-fold5-512gb-1.png,Samsung Galaxy Z Fold5 512 GB (SM-F956B) Cep Telefonu
920040,https://resim.epey.com/920040/b_samsung-galaxy-s24-256gb-2.png,Samsung Galaxy S24 256 GB (SM-S921B) Cep Telefonu
920916,https://resim.epey.com/920916/b_oneplus-12r-1.png,OnePlus 12R (CPH2609) Cep Telefonu
950765,https://resim.epey.com/950765/b_xiaomi-mix-flip-1.png,Xiaomi Mix Flip Cep Telefonu
895862,https://resim.epey.com/895862/b_apple-iphone-15-plus-512gb-2.png,Apple iPhone 15 Plus 512 GB Cep Telefonu
974267,https://resim.epey.com/974267/b_huawei-mate-x6-26.png,Huawei Mate X6 (ICL-LX9) Cep Telefonu
846314,https://resim.epey.com/846314/b_samsung-galaxy-s23-plus-1.png,Samsung Galaxy S23+ (SM-S916B) Cep Telefonu
971524,https://resim.epey.com/971524/b_realme-gt-6-256gb-1.png,realme GT 6 12 GB / 256 GB Cep Telefonu
961027,https://resim.epey.com/961027/b_tecno-phantom-v-fold2-1.png,Tecno Phantom V Fold2 Cep Telefonu
947563,https://resim.epey.com/947563/b_samsung-galaxy-z-flip-6-1.png,Samsung Galaxy Z Flip6 (SM-F741B) Cep Telefonu
934840,https://resim.epey.com/934840/b_huawei-pura-70-pro-16.png,Huawei Pura 70 Pro (HBN-LX9) Cep Telefonu
871836,https://resim.epey.com/871836/b_samsung-galaxy-z-fold5-1.png,Samsung Galaxy Z Fold5 (SM-F956B) Cep Telefonu
963426,https://resim.epey.com/963426/b_samsung-galaxy-s24-fe-256gb-1.png,Samsung Galaxy S24 FE 256 GB Cep Telefonu
994885,https://resim.epey.com/994885/b_apple-iphone-16e-1.png,Apple iPhone 16e Cep Telefonu
895858,https://resim.epey.com/895858/b_apple-iphone-15-plus-256gb-2.png,Apple iPhone 15 Plus 256 GB Cep Telefonu
947583,https://resim.epey.com/947583/b_nubia-red-magic-9s-pro-2.png,Nubia Red Magic 9S Pro 12 GB / 256 GB Cep Telefonu
899613,https://resim.epey.com/899613/b_samsung-galaxy-s24-2.png,Samsung Galaxy S24 (SM-S921B) Cep Telefonu
895867,https://resim.epey.com/895867/b_apple-iphone-15-512gb-1.png,Apple iPhone 15 512 GB Cep Telefonu
849760,https://resim.epey.com/849760/b_samsung-galaxy-s23-256gb-2.png,Samsung Galaxy S23 256 GB (SM-S911B) Cep Telefonu
858968,https://resim.epey.com/858968/b_huawei-p60-pro-19.png,Huawei P60 Pro (MNA-LX9) Cep Telefonu
944934,https://resim.epey.com/944934/b_samsung-galaxy-s24-fe-1.png,Samsung Galaxy S24 FE 128 GB (SM-S721B) Cep Telefonu
940912,https://resim.epey.com/940912/b_poco-f6-pro-512gb-1.png,Poco F6 Pro 12 GB / 512 GB Cep Telefonu
894506,https://resim.epey.com/894506/b_apple-iphone-15-plus-2.png,Apple iPhone 15 Plus Cep Telefonu
895863,https://resim.epey.com/895863/b_apple-iphone-15-256gb-1.png,Apple iPhone 15 256 GB Cep Telefonu
940647,https://resim.epey.com/940647/b_realme-gt-6t-1.png,realme GT 6T (RMX3853) Cep Telefonu
940908,https://resim.epey.com/940908/b_poco-f6-512gb-5.png,Poco F6 12 GB / 512 GB Cep Telefonu
845148,https://resim.epey.com/845148/b_samsung-galaxy-s23-2.png,Samsung Galaxy S23 (SM-S911B) Cep Telefonu
873950,https://resim.epey.com/873950/b_poco-f5-pro-512gb-1.png,Poco F5 Pro 512 GB Cep Telefonu
934779,https://resim.epey.com/934779/b_huawei-pura-70-15.png,Huawei Pura 70 (ADY-LX9) Cep Telefonu
960603,https://resim.epey.com/reklam/1549_1543172477_ust.jpg?v=5,Samsung Galaxy A16 5G
892246,https://resim.epey.com/892246/b_xiaomi-13t-1.png,Xiaomi 13T Cep Telefonu
886210,https://resim.epey.com/886210/b_apple-iphone-15-1.png,Apple iPhone 15 128 GB Cep Telefonu
884226,https://resim.epey.com/884226/b_samsung-galaxy-z-flip5-256gb-2.png,Samsung Galaxy Z Flip5 512 GB (SM-F731B) Cep Telefonu
919029,https://resim.epey.com/919029/b_poco-x6-pro-512gb-1.png,Poco X6 Pro 12 GB / 512 GB Cep Telefonu
