Model,Display Size,Display Technology,Pixel Density,Battery Capacity,Camera Resolution,CPU Manufacturing,Operating System,RAM,Internal Storage,Refresh Rate,5g,Price,Waterproof,Dustproof,ProductID
Infinix Hot 50i,6.7,IPS LCD,262,5000,48,12,Android,6,128,120,0,6750,4,5,930525
realme C55,6.72,IPS LCD,392,5000,64,12,Android,6,128,90,0,7741,0,0,957912
Redmi 12,6.79,IPS LCD,396,5000,50,12,Android,4,128,90,0,6799,3,5,986966
realme C63,6.74,IPS LCD,260,5000,50,12,Android,8,256,90,0,8099,4,5,908067
Huawei Nova 12i,6.7,IPS LCD,391,5000,108,6,Android,8,128,90,0,11920,0,0,896697
realme C65,6.67,IPS LCD,264,5000,50,12,Android,8,128,90,0,6999,4,5,897703
Tecno Spark 30C,6.67,IPS LCD,263,5000,48,12,Android,4,128,120,0,5899,4,5,946770
Infinix Hot 40i,6.56,IPS LCD,269,5000,50,12,Android,8,256,90,0,7499,0,0,897898
Samsung Galaxy A05s,6.7,PLS,393,5000,50,6,Android,4,128,90,0,7719,0,0,970850
Redmi 13C,6.74,IPS LCD,260,5000,50,12,Android,8,256,90,0,8111,2,5,932816
Vivo Y18,6.56,IPS LCD,269,5000,50,12,Android,8,256,90,0,7529,4,5,965945
Wiko T60,6.58,IPS LCD,401,5200,48,12,Android,8,256,60,0,5699,0,0,958567
Redmi 14C,6.88,IPS LCD,260,5160,50,12,Android,8,256,120,0,7739,2,5,884850
realme C65,6.67,IPS LCD,264,5000,50,12,Android,6,128,90,0,6561,4,5,940404
Oppo A3,6.67,IPS LCD,264,5100,50,11,Android,6,128,90,0,7466,4,5,966737
realme C61,6.74,IPS LCD,260,5000,50,12,Android,8,256,90,0,7635,4,5,937550
Vivo Y27,6.64,IPS LCD,395,5000,50,12,Android,6,128,60,0,6697,4,5,942520
realme C53,6.74,IPS LCD,260,5000,50,12,Android,8,256,90,0,7349,0,0,856980
Vivo Y19s,6.68,IPS LCD,264,5500,50,12,Android,4,128,90,0,6223,4,6,954859
Vivo Y18,6.56,IPS LCD,269,5000,50,12,Android,8,128,90,0,6671,4,5,907051
realme C63,6.74,IPS LCD,260,5000,50,12,Android,6,128,90,0,6305,4,5,936673
Samsung Galaxy A14,6.6,PLS,400,5000,50,8,Android,4,128,60,0,9499,0,0,898351
Nubia V50 Vita,6.75,IPS LCD,260,5200,50,12,Android,6,128,90,0,5750,0,0,892342
Tecno Spark 20C,6.6,IPS LCD,267,5000,50,12,Android,8,128,90,0,6369,0,0,958492
Redmi 13C,6.74,IPS LCD,260,5000,50,12,Android,6,128,90,0,7567,2,5,999624
Tecno Spark 10,6.6,IPS LCD,267,5000,50,12,Android,8,128,90,0,6540,0,0,957138
Oppo A38,6.56,IPS LCD,269,5000,50,12,Android,6,128,90,0,7399,4,5,900749
Redmi 14C,6.88,IPS LCD,260,5160,50,12,Android,6,128,120,0,6674,2,5,965242
Vivo Y04,6.74,IPS LCD,260,5500,13,12,Android,4,128,90,0,6100,4,6,946988
Tecno Spark Go 1,6.67,IPS LCD,263,5000,13,12,Android,4,128,120,0,5867,4,5,952611
Vivo Y17s,6.56,IPS LCD,269,5000,50,12,Android,6,128,60,0,6500,4,5,859745
Vivo Y18,6.56,IPS LCD,269,5000,50,12,Android,4,128,90,0,6171,4,5,895495
realme C61,6.74,IPS LCD,260,5000,50,12,Android,6,128,90,0,6737,4,5,925068
Samsung Galaxy A06,6.7,PLS,262,5000,50,12,Android,4,128,60,0,6125,0,0,859751
Tecno Spark 10,6.6,IPS LCD,267,5000,50,12,Android,4,128,90,0,6369,0,0,870747
Vivo Y17s,6.56,IPS LCD,269,5000,50,12,Android,4,128,60,0,6500,4,5,825623
itel S23,6.6,IPS LCD,267,5000,50,12,Android,8,256,90,0,5440,0,0,922578
Tecno Spark 10C,6.6,IPS LCD,267,5000,16,12,Android,8,128,90,0,7399,0,0,963919
realme C53,6.74,IPS LCD,260,5000,50,12,Android,4,128,90,0,6271,0,0,983797
Samsung Galaxy A14,6.6,PLS,400,5000,50,8,Android,4,64,60,0,7831,0,0,918625
Tecno Spark 20C,6.6,IPS LCD,267,5000,50,12,Android,4,128,90,0,5830,0,0,922860
Infinix Smart 9,6.7,IPS LCD,262,5000,13,12,Android,4,128,120,0,5702,4,5,860879
realme Note 60,6.74,IPS LCD,260,5000,32,12,Android,6,128,90,0,6995,4,6,933546
Samsung Galaxy A05,6.7,PLS,262,5000,50,12,Android,4,128,60,0,7426,0,0,958493
itel S23,6.6,IPS LCD,267,5000,50,12,Android,8,128,90,0,5249,0,0,859340
Infinix Hot 30i,6.56,IPS LCD,269,5000,50,12,Android,8,128,90,0,6263,0,0,861952
Infinix Smart 8 Pro,6.6,IPS LCD,267,5000,50,12,Android,8,128,90,0,7055,0,0,919738
realme Note 60,6.74,IPS LCD,260,5000,32,12,Android,4,128,90,0,6199,4,6,939142
Infinix Hot 30i,6.56,IPS LCD,269,5000,13,12,Android,4,128,90,0,6550,0,0,921588
Omix X5,6.56,IPS LCD,269,5000,50,12,Android,4,64,90,0,5450,3,5,863928
realme Note 50,6.74,IPS LCD,260,5000,13,12,Android,4,128,90,0,5623,4,5,892993
Infinix Hot 30i,6.56,IPS LCD,269,5000,50,12,Android,4,128,90,0,7499,0,0,844378
Infinix Smart 8 Pro,6.6,IPS LCD,267,5000,50,12,Android,4,128,90,0,5830,0,0,905560
General Mobile GM 23,6.52,IPS LCD,269,5000,50,12,Android,4,128,90,0,6750,0,0,885478
Samsung Galaxy A05,6.7,PLS,262,5000,50,12,Android,4,64,60,0,7162,0,0,857656
Redmi 12C,6.71,IPS LCD,268,5000,50,12,Android,4,128,60,0,7189,0,0,1007343
General Mobile GM 23 SE,6.5,IPS LCD,270,5000,8,12,Android,4,128,60,0,5163,0,0,1006725
Infinix Hot 30i,6.56,IPS LCD,269,5000,50,12,Android,4,64,90,0,7999,0,0,1013014
Redmi 12C,6.71,IPS LCD,268,5000,50,12,Android,4,64,60,0,6173,0,0,1008074
Honor 400 Pro,6.7,AMOLED,460,6000,200,4,Android,12,512,120,1,35998,9,6,983834
Honor 400,6.55,AMOLED,460,6000,200,4,Android,8,256,120,1,18999,6,6,1013676
Honor 400,6.55,AMOLED,460,6000,200,4,Android,12,256,120,1,22999,6,6,1004721
Samsung Galaxy S25 Edge,6.7,Dynamic AMOLED,513,3900,200,3,Android,12,512,120,1,61934,8,6,999318
Samsung Galaxy S25 Edge,6.7,Dynamic AMOLED,513,3900,200,3,Android,12,256,120,1,65974,8,6,997848
Tecno Camon 40,6.78,AMOLED,393,5200,50,6,Android,12,256,120,0,19999,6,6,997847
Infinix Hot 50,6.78,IPS LCD,396,5000,50,6,Android,8,256,120,0,12349,3,0,1007990
Oppo A5 Pro,6.67,IPS LCD,264,5800,50,11,Android,8,256,90,0,15999,9,6,965099
Tecno Camon 40 Premier 5G,6.67,AMOLED,460,5100,50,4,Android,12,256,144,1,29999,9,6,963903
Tecno Camon 40,6.78,AMOLED,393,5200,50,6,Android,8,256,120,0,15999,6,6,953989
Infinix Hot 50,6.78,IPS LCD,396,5000,50,6,Android,6,256,120,0,12499,3,0,953981
Hiking A45,6.79,IPS LCD,264,5000,48,12,Android,8,128,60,0,5390,0,0,953985
Infinix Hot 50,6.78,IPS LCD,396,5000,50,6,Android,8,128,120,0,9309,3,0,955429
General Mobile Era 50,6.78,IPS LCD,396,5000,50,12,Android,6,256,90,0,8463,0,0,948348
General Mobile Era 50,6.78,IPS LCD,396,5000,50,12,Android,6,128,90,0,6999,0,0,935581
General Mobile Era 30,6.6,IPS LCD,269,5000,50,12,Android,4,128,90,0,5827,0,0,941524
Mipo M59,6.78,IPS LCD,396,5000,64,6,Android,8,256,120,0,6785,0,0,936131
Mipo M46 Plus,6.82,IPS LCD,263,5000,48,12,Android,8,256,60,0,6599,0,0,925999
Casper VIA M40,6.53,IPS LCD,269,5000,50,12,Android,6,128,90,0,6244,0,0,921063
ZTE nubia Focus 5G,6.56,IPS LCD,269,5000,108,6,Android,6,256,120,1,8749,0,0,986554
Ovion V20 Pro,6.7,AMOLED,0,5000,64,6,Android,8,256,120,0,9999,0,0,921462
Reeder S19 Max Pro S Edge,6.67,AMOLED,0,4500,64,12,Android,8,128,60,0,9999,0,0,909684
Casper VIA X40,6.67,AMOLED,403,5000,50,6,Android,8,256,120,0,9995,0,0,909734
Infinix Note 12 Pro 4G,6.7,AMOLED,0,5000,108,6,Android,8,256,0,0,11999,0,0,909853
