Model,Display Size,Display Technology,Pixel Density,Battery Capacity,Camera Resolution,CPU Manufacturing,Operating System,RAM,Internal Storage,Refresh Rate,5g,Price,Waterproof,Dustproof,ProductID
Apple iPhone 16e,6.1,OLED,460,4005,48,3,iOS,8,512,60,1,59999,8,6,994887
Apple iPhone 16,6.1,OLED,460,3561,48,3,iOS,8,128,60,1,54999,8,6,959779
Xiaomi 14T,6.67,AMOLED,446,5000,50,4,Android,12,256,144,1,26199,8,6,958540
Nubia Red Magic 9S Pro,6.8,AMOLED,400,6500,50,4,Android,16,512,120,1,59999,0,0,963088
Huawei Pura 70 Ultra,6.8,OLED,460,5200,50,7,Android,16,512,120,0,69999,8,6,934802
Xiaomi 13T Pro,6.67,AMOLED,446,5000,50,4,Android,12,512,144,1,28129,8,6,890830
Poco X7 Pro,6.67,AMOLED,446,6000,50,4,Android,12,512,120,1,21300,8,6,986894
Poco F6 Pro,6.67,AMOLED,526,5000,50,4,Android,16,1024,120,1,36954,3,5,940913
Samsung Galaxy Z Flip6,6.7,Dynamic AMOLED,425,4000,50,4,Android,12,512,120,1,47285,8,4,949023
Apple iPhone 16e,6.1,OLED,460,4005,48,3,iOS,8,256,60,1,47930,8,6,994886
Samsung Galaxy Z Fold5,6.2,Super AMOLED,402,4400,50,4,Android,12,512,120,1,54719,8,0,884193
Samsung Galaxy S24,6.2,Dynamic AMOLED,418,4000,50,4,Android,8,256,120,1,35150,8,6,920040
OnePlus 12R,6.78,AMOLED,450,5500,50,4,Android,16,256,120,1,33998,4,6,920916
Xiaomi Mix Flip,6.86,AMOLED,460,4780,50,4,Android,12,512,120,1,45279,0,0,950765
Apple iPhone 15 Plus,6.7,OLED,460,4383,48,4,iOS,6,512,60,1,73016,8,6,895862
Huawei Mate X6,6.45,OLED,0,5110,50,7,Android,12,512,120,0,109999,8,0,974267
Samsung Galaxy S23+,6.6,Dynamic AMOLED,393,4700,50,4,Android,8,256,120,1,35280,8,6,846314
realme GT 6,6.78,AMOLED,450,5500,50,4,Android,12,256,120,1,27241,5,6,971524
Tecno Phantom V Fold2,6.42,AMOLED,431,5750,50,4,Android,12,512,120,1,47799,4,5,961027
Samsung Galaxy Z Flip6,6.7,Dynamic AMOLED,425,4000,50,4,Android,12,256,120,1,45593,8,4,947563
Huawei Pura 70 Pro,6.8,OLED,460,5050,50,7,Android,12,512,120,0,49999,8,6,934840
Samsung Galaxy Z Fold5,6.2,Super AMOLED,402,4400,50,4,Android,12,256,120,1,58299,8,0,871836
Samsung Galaxy S24 FE,6.7,Dynamic AMOLED,385,4700,50,4,Android,8,256,120,1,25498,8,6,963426
Apple iPhone 16e,6.1,OLED,460,4005,48,3,iOS,8,128,60,1,41799,8,6,994885
Apple iPhone 15 Plus,6.7,OLED,460,4383,48,4,iOS,6,256,60,1,67999,8,6,895858
