ProductID,ImageUrl,Model,Price,Model,Display Size,Display Technology,Pixel Density,Battery Capacity,Camera Resolution,CPU Manufacturing,Operating System,RAM,Internal Storage,Refresh Rate,5G,Suya dayanıklılık,Toza dayanıklılık
920039,https://resim.epey.com/920039/b_samsung-galaxy-s24-ultra-1tb-1.png,Samsung Galaxy S24 Ultra 12 GB RAM,77279,Samsung Galaxy S24 Ultra,6.8 İnç,Dynamic AMOLED,505 PPI,5000 mAh,200 MP,4 nm,Android,12 GB,1 TB,120 Hz,Var,IPX8,IP6X
968598,https://resim.epey.com/968598/b_realme-gt-7-pro-2.png,realme GT7 Pro 12 GB RAM 512 GB,45999,realme GT7 Pro,6.78 İnç,OLED,450 PPI,6500 mAh,50 MP,3 nm,Android,12 GB,512 GB,120 Hz,Var,IPX9,IP6X
949523,https://resim.epey.com/949523/b_honor-magic-v3-10.png,Honor Magic V3 12 GB RAM 512 GB,75999,Honor Magic V3,6.43 İnç,OLED,405 PPI,5150 mAh,50 MP,4 nm,Android,12 GB,512 GB,120 Hz,Var,IPX8,
963408,https://resim.epey.com/963408/b_xiaomi-14t-pro-1tb-3.png,Xiaomi 14T Pro 12 GB RAM,37999,Xiaomi 14T Pro,6.67 İnç,AMOLED,446 PPI,5000 mAh,50 MP,4 nm,Android,12 GB,1 TB,144 Hz,Var,IPX8,IP6X
904175,https://resim.epey.com/904175/b_vivo-x100-pro-14.png,Vivo X100 Pro 16 GB RAM 512 GB,56400,Vivo X100 Pro,6.78 İnç,AMOLED,452 PPI,5400 mAh,50 MP,4 nm,Android,16 GB,512 GB,120 Hz,Var,IPX8,IP6X
895853,https://resim.epey.com/895853/b_apple-iphone-15-pro-max-512gb-3.png,Apple iPhone 15 Pro Max 8 GB RAM 512 GB,97919,Apple iPhone 15 Pro Max,6.7 İnç,OLED,460 PPI,4441 mAh,48 MP,3 nm,iOS,8 GB,512 GB,120 Hz,Var,IPX8,IP6X
952452,https://resim.epey.com/952452/b_apple-iphone-16-pro-2.png,Apple iPhone 16 Pro 8 GB RAM 128 GB,73999,Apple iPhone 16 Pro,6.3 İnç,OLED,460 PPI,3582 mAh,48 MP,3 nm,iOS,8 GB,128 GB,120 Hz,Var,IPX8,IP6X
895857,https://resim.epey.com/895857/b_apple-iphone-15-pro-1tb-3.png,Apple iPhone 15 Pro 8 GB RAM,94999,Apple iPhone 15 Pro,6.1 İnç,OLED,460 PPI,3274 mAh,48 MP,3 nm,iOS,8 GB,1 TB,120 Hz,Var,IPX8,IP6X
894486,https://resim.epey.com/894486/b_apple-iphone-15-pro-max-3.png,Apple iPhone 15 Pro Max 8 GB RAM 256 GB,85996,Apple iPhone 15 Pro Max,6.7 İnç,OLED,460 PPI,4441 mAh,48 MP,3 nm,iOS,8 GB,256 GB,120 Hz,Var,IPX8,IP6X
902114,https://resim.epey.com/902114/b_xiaomi-14-3.png,Xiaomi 14 12 GB RAM 512 GB,42431,Xiaomi 14,6.36 İnç,AMOLED,460 PPI,4610 mAh,50 MP,4 nm,Android,12 GB,512 GB,120 Hz,Var,IPX8,IP6X
920038,https://resim.epey.com/920038/b_samsung-galaxy-s24-ultra-512gb-1.png,Samsung Galaxy S24 Ultra 12 GB RAM 512 GB,62750,Samsung Galaxy S24 Ultra,6.8 İnç,Dynamic AMOLED,505 PPI,5000 mAh,200 MP,4 nm,Android,12 GB,512 GB,120 Hz,Var,IPX8,IP6X
963407,https://resim.epey.com/963407/b_xiaomi-14t-pro-512gb-3.png,Xiaomi 14T Pro 12 GB RAM 512 GB,32299,Xiaomi 14T Pro,6.67 İnç,AMOLED,446 PPI,5000 mAh,50 MP,4 nm,Android,12 GB,512 GB,144 Hz,Var,IPX8,IP6X
