description
Ekran Boyutu:6.9 İnç;Ekran Teknolojisi:Dynamic AMOLED;Piksel Yoğunluğu:498 PPI;Batarya Kapasitesi:5000 mAh;Kamera Çözünürlüğü:200 MP;CPU Üretim Teknolojisi:3 nm;İşletim Sistemi:Android;RAM Kapasitesi:12 GB;Dahili Hafıza:256 GB;Hızlı Şarj Desteği:Var;Ekran Yenileme Hızı:120 Hz
Ekran Boyutu:6.85 İnç;Ekran Teknolojisi:AMOLED;Piksel Yoğunluğu:431 PPI;Batarya Kapasitesi:7050 mAh;Kamera Çözünürlüğü:50 MP;CPU Üretim Teknolojisi:3 nm;İşletim Sistemi:Android;RAM Kapasitesi:24 GB;Dahili Hafıza:1 TB;Hızlı Şarj Desteği:Var;Ekran Yenileme Hızı:144 Hz
Ekran Boyutu:6.3 İnç;Ekran Teknolojisi:OLED;Piksel Yoğunluğu:460 PPI;Batarya Kapasitesi:3582 mAh;Kamera Çözünürlüğü:48 MP;CPU Üretim Teknolojisi:3 nm;İşletim Sistemi:iOS;RAM Kapasitesi:8 GB;Dahili Hafıza:512 GB;Hızlı Şarj Desteği:Var;Ekran Yenileme Hızı:120 Hz
Ekran Boyutu:6.7 İnç;Ekran Teknolojisi:Dynamic AMOLED;Piksel Yoğunluğu:513 PPI;Batarya Kapasitesi:4900 mAh;Kamera Çözünürlüğü:50 MP;CPU Üretim Teknolojisi:3 nm;İşletim Sistemi:Android;RAM Kapasitesi:12 GB;Dahili Hafıza:512 GB;Hızlı Şarj Desteği:Var;Ekran Yenileme Hızı:120 Hz
Ekran Boyutu:6.7 İnç;Ekran Teknolojisi:OLED;Piksel Yoğunluğu:460 PPI;Batarya Kapasitesi:4441 mAh;Kamera Çözünürlüğü:48 MP;CPU Üretim Teknolojisi:3 nm;İşletim Sistemi:iOS;RAM Kapasitesi:8 GB;Dahili Hafıza:1 TB;Hızlı Şarj Desteği:Var;Ekran Yenileme Hızı:120 Hz
Ekran Boyutu:6.82 İnç;Ekran Teknolojisi:AMOLED;Piksel Yoğunluğu:510 PPI;Batarya Kapasitesi:5400 mAh;Kamera Çözünürlüğü:50 MP;CPU Üretim Teknolojisi:4 nm;İşletim Sistemi:Android;RAM Kapasitesi:16 GB;Dahili Hafıza:512 GB;Hızlı Şarj Desteği:Var;Ekran Yenileme Hızı:120 Hz
Ekran Boyutu:6.3 İnç;Ekran Teknolojisi:OLED;Piksel Yoğunluğu:460 PPI;Batarya Kapasitesi:3582 mAh;Kamera Çözünürlüğü:48 MP;CPU Üretim Teknolojisi:3 nm;İşletim Sistemi:iOS;RAM Kapasitesi:8 GB;Dahili Hafıza:256 GB;Hızlı Şarj Desteği:Var;Ekran Yenileme Hızı:120 Hz
Ekran Boyutu:6.7 İnç;Ekran Teknolojisi:Dynamic AMOLED;Piksel Yoğunluğu:513 PPI;Batarya Kapasitesi:4900 mAh;Kamera Çözünürlüğü:50 MP;CPU Üretim Teknolojisi:3 nm;İşletim Sistemi:Android;RAM Kapasitesi:12 GB;Dahili Hafıza:256 GB;Hızlı Şarj Desteği:Var;Ekran Yenileme Hızı:120 Hz
Ekran Boyutu:6.8 İnç;Ekran Teknolojisi:OLED;Piksel Yoğunluğu:453 PPI;Batarya Kapasitesi:5600 mAh;Kamera Çözünürlüğü:50 MP;CPU Üretim Teknolojisi:4 nm;İşletim Sistemi:Android;RAM Kapasitesi:12 GB;Dahili Hafıza:512 GB;Hızlı Şarj Desteği:Var;Ekran Yenileme Hızı:120 Hz
Ekran Boyutu:6.8 İnç;Ekran Teknolojisi:Dynamic AMOLED;Piksel Yoğunluğu:505 PPI;Batarya Kapasitesi:5000 mAh;Kamera Çözünürlüğü:200 MP;CPU Üretim Teknolojisi:4 nm;İşletim Sistemi:Android;RAM Kapasitesi:12 GB;Dahili Hafıza:1 TB;Hızlı Şarj Desteği:Var;Ekran Yenileme Hızı:120 Hz
Ekran Boyutu:6.78 İnç;Ekran Teknolojisi:OLED;Piksel Yoğunluğu:450 PPI;Batarya Kapasitesi:6500 mAh;Kamera Çözünürlüğü:50 MP;CPU Üretim Teknolojisi:3 nm;İşletim Sistemi:Android;RAM Kapasitesi:12 GB;Dahili Hafıza:512 GB;Hızlı Şarj Desteği:Var;Ekran Yenileme Hızı:120 Hz
Ekran Boyutu:6.43 İnç;Ekran Teknolojisi:OLED;Piksel Yoğunluğu:405 PPI;Batarya Kapasitesi:5150 mAh;Kamera Çözünürlüğü:50 MP;CPU Üretim Teknolojisi:4 nm;İşletim Sistemi:Android;RAM Kapasitesi:12 GB;Dahili Hafıza:512 GB;Hızlı Şarj Desteği:Var;Ekran Yenileme Hızı:120 Hz
Ekran Boyutu:6.67 İnç;Ekran Teknolojisi:AMOLED;Piksel Yoğunluğu:446 PPI;Batarya Kapasitesi:5000 mAh;Kamera Çözünürlüğü:50 MP;CPU Üretim Teknolojisi:4 nm;İşletim Sistemi:Android;RAM Kapasitesi:12 GB;Dahili Hafıza:1 TB;Hızlı Şarj Desteği:Var;Ekran Yenileme Hızı:144 Hz
Ekran Boyutu:6.78 İnç;Ekran Teknolojisi:AMOLED;Piksel Yoğunluğu:452 PPI;Batarya Kapasitesi:5400 mAh;Kamera Çözünürlüğü:50 MP;CPU Üretim Teknolojisi:4 nm;İşletim Sistemi:Android;RAM Kapasitesi:16 GB;Dahili Hafıza:512 GB;Hızlı Şarj Desteği:Var;Ekran Yenileme Hızı:120 Hz
Ekran Boyutu:6.7 İnç;Ekran Teknolojisi:OLED;Piksel Yoğunluğu:460 PPI;Batarya Kapasitesi:4441 mAh;Kamera Çözünürlüğü:48 MP;CPU Üretim Teknolojisi:3 nm;İşletim Sistemi:iOS;RAM Kapasitesi:8 GB;Dahili Hafıza:512 GB;Hızlı Şarj Desteği:Var;Ekran Yenileme Hızı:120 Hz
Ekran Boyutu:6.3 İnç;Ekran Teknolojisi:OLED;Piksel Yoğunluğu:460 PPI;Batarya Kapasitesi:3582 mAh;Kamera Çözünürlüğü:48 MP;CPU Üretim Teknolojisi:3 nm;İşletim Sistemi:iOS;RAM Kapasitesi:8 GB;Dahili Hafıza:128 GB;Hızlı Şarj Desteği:Var;Ekran Yenileme Hızı:120 Hz
Ekran Boyutu:6.1 İnç;Ekran Teknolojisi:OLED;Piksel Yoğunluğu:460 PPI;Batarya Kapasitesi:3274 mAh;Kamera Çözünürlüğü:48 MP;CPU Üretim Teknolojisi:3 nm;İşletim Sistemi:iOS;RAM Kapasitesi:8 GB;Dahili Hafıza:1 TB;Hızlı Şarj Desteği:Var;Ekran Yenileme Hızı:120 Hz
