phone_brand,phone_model,price,storage,ram,display_type,display_size,display_resolution,os,battery,chipset,cpu,gpu,ppi_density,os_type,os_version,chip_company,cpu_core,gpu_company,video_resolution
apple,Apple iPhone 15 Plus,63749,256,6,"Super Retina XDR OLED, HDR10, Dolby Vision, 1000 nits (HBM), 2000 nits (peak)",6.7,1290 x 2796,"iOS 17, upgradable to iOS 18",4383,Apple A16 Bionic (4 nm),Hexa-core (2x3.46 GHz Everest + 4x2.02 GHz Sawtooth),Apple GPU (5-core graphics),460,iOS,17,Apple,Hexa-core,Apple,3
apple,Apple iPhone 15 Plus,70499,512,6,"Super Retina XDR OLED, HDR10, Dolby Vision, 1000 nits (HBM), 2000 nits (peak)",6.7,1290 x 2796,"iOS 17, upgradable to iOS 18",4383,Apple A16 Bionic (4 nm),Hexa-core (2x3.46 GHz Everest + 4x2.02 GHz Sawtooth),Apple GPU (5-core graphics),460,iOS,17,Apple,Hexa-core,Apple,3
apple,Apple iPhone 15 Pro,82999,256,8,"LTPO Super Retina XDR OLED, 120Hz, HDR10, Dolby Vision, 1000 nits (typ), 2000 nits (HBM)",6.1,1179 x 2556,"iOS 17, upgradable to iOS 18",3274,Apple A17 Pro (3 nm),Hexa-core (2x3.78 GHz + 4x2.11 GHz),Apple GPU (6-core graphics),461,iOS,17,Apple,Hexa-core,Apple,3
apple,Apple iPhone 15 Pro,94545,512,8,"LTPO Super Retina XDR OLED, 120Hz, HDR10, Dolby Vision, 1000 nits (typ), 2000 nits (HBM)",6.1,1179 x 2556,"iOS 17, upgradable to iOS 18",3274,Apple A17 Pro (3 nm),Hexa-core (2x3.78 GHz + 4x2.11 GHz),Apple GPU (6-core graphics),461,iOS,17,Apple,Hexa-core,Apple,3
apple,Apple iPhone 15 Pro,73999,1000,8,"LTPO Super Retina XDR OLED, 120Hz, HDR10, Dolby Vision, 1000 nits (typ), 2000 nits (HBM)",6.1,1179 x 2556,"iOS 17, upgradable to iOS 18",3274,Apple A17 Pro (3 nm),Hexa-core (2x3.78 GHz + 4x2.11 GHz),Apple GPU (6-core graphics),461,iOS,17,Apple,Hexa-core,Apple,3
apple,Apple iPhone 16,64513,256,8,"Super Retina XDR OLED, HDR10, Dolby Vision, 1000 nits (typ), 2000 nits (HBM)",6.1,1179 x 2556,iOS 18,3561,Apple A18 (3 nm),Hexa-core (2x4.04 GHz + 4x2.20 GHz),Apple GPU (5-core graphics),460,iOS,18,Apple,Hexa-core,Apple,3
apple,Apple iPhone 16,73999,512,8,"Super Retina XDR OLED, HDR10, Dolby Vision, 1000 nits (typ), 2000 nits (HBM)",6.1,1179 x 2556,iOS 18,3561,Apple A18 (3 nm),Hexa-core (2x4.04 GHz + 4x2.20 GHz),Apple GPU (5-core graphics),460,iOS,18,Apple,Hexa-core,Apple,3
apple,Apple iPhone 16 Plus,74499,256,8,"Super Retina XDR OLED, HDR10, Dolby Vision, 1000 nits (typ), 2000 nits (HBM)",6.7,1290 x 2796,iOS 18,4674,Apple A18 (3 nm),Hexa-core (2x4.04 GHz + 4x2.20 GHz),Apple GPU (5-core graphics),460,iOS,18,Apple,Hexa-core,Apple,3
apple,Apple iPhone 16 Plus,82883,512,8,"Super Retina XDR OLED, HDR10, Dolby Vision, 1000 nits (typ), 2000 nits (HBM)",6.7,1290 x 2796,iOS 18,4674,Apple A18 (3 nm),Hexa-core (2x4.04 GHz + 4x2.20 GHz),Apple GPU (5-core graphics),460,iOS,18,Apple,Hexa-core,Apple,3
apple,Apple iPhone 16 Pro,89999,512,8,"LTPO Super Retina XDR OLED, 120Hz, HDR10, Dolby Vision, 1000 nits (typ), 2000 nits (HBM)",6.3,1206 x 2622,iOS 18,3582,Apple A18 Pro (3 nm),Hexa-core (2x4.05 GHz + 4x2.42 GHz),Apple GPU (6-core graphics),460,iOS,18,Apple,Hexa-core,Apple,3
apple,Apple iPhone 16 Pro,73999,1000,8,"LTPO Super Retina XDR OLED, 120Hz, HDR10, Dolby Vision, 1000 nits (typ), 2000 nits (HBM)",6.3,1206 x 2622,iOS 18,3582,Apple A18 Pro (3 nm),Hexa-core (2x4.05 GHz + 4x2.42 GHz),Apple GPU (6-core graphics),460,iOS,18,Apple,Hexa-core,Apple,3
apple,Apple iPhone 16 Pro Max,94999,512,8,"LTPO Super Retina XDR OLED, 120Hz, HDR10, Dolby Vision, 1000 nits (typ), 2000 nits (HBM)",6.9,1320 x 2868,iOS 18,4685,Apple A18 Pro (3 nm),Hexa-core (2x4.05 GHz + 4x2.42 GHz),Apple GPU (6-core graphics),460,iOS,18,Apple,Hexa-core,Apple,3
huawei,Huawei P60 Pro,38898,512,12,"LTPO OLED, 1B colors, 120Hz",6.67,1220 x 2700,"HarmonyOS 3.1 (China), EMUI 13.1 (Europe), no Google Play Services",4815,Qualcomm SM8475 Snapdragon 8+ Gen 1 4G (4 nm),Octa-core (1x3.19 GHz Cortex-X2 & 3x2.75 GHz Cortex-A710 & 4x2.0 GHz Cortex-A510),Adreno 730,444,HarmonyOS,3.1,Qualcomm,Octa-core,Adreno,3
huawei,Huawei nova 11 Pro,29110,512,8,"OLED, 1B colors, HDR10, 120Hz",6.78,1200 x 2652,HarmonyOS 3.0,4500,Qualcomm SM7325 Snapdragon 778G 4G (6 nm),Octa-core (4x2.4 GHz Kryo 670 & 4x1.8 GHz Kryo 670),Adreno 642L,429,HarmonyOS,3,Qualcomm,Octa-core,Adreno,3
huawei,Huawei Pura 70 Pro,40999,512,12,"LTPO OLED, 1B colors, HDR, 120Hz, 2500 nits (peak)",6.8,1260 x 2844,"EMUI 14.2 (International), HarmonyOS 4.2 (China)",5050,Kirin 9010 (7 nm),Octa-core (1x2.3 GHz Taishan Big & 3x2.18 GHz Taishan Mid & 4x1.55 GHz  Cortex-A510),8,460,EMUI,14.2,Kirin,Octa-core,,3
huawei,Huawei nova 12i,10899,256,8,"IPS LCD, 90Hz",6.7,1080 x 2388,"EMUI 14, no Google Play Services",5000,Qualcomm Snapdragon 680 4G (6 nm),Octa-core (4x2.4 GHz Cortex-A73 & 4x1.9 GHz Cortex-A53),Adreno 610,391,EMUI,14,Qualcomm,Octa-core,Adreno,1
huawei,Huawei P60 Pro,38898,512,12,"LTPO OLED, 1B colors, 120Hz",6.67,1220 x 2700,"HarmonyOS 3.1 (China), EMUI 13.1 (Europe), no Google Play Services",4815,Qualcomm SM8475 Snapdragon 8+ Gen 1 4G (4 nm),Octa-core (1x3.19 GHz Cortex-X2 & 3x2.75 GHz Cortex-A710 & 4x2.0 GHz Cortex-A510),Adreno 730,444,HarmonyOS,3.1,Qualcomm,Octa-core,Adreno,3
huawei,Huawei Pura 70 Pro,40999,512,12,"LTPO OLED, 1B colors, HDR, 120Hz, 2500 nits (peak)",6.8,1260 x 2844,"EMUI 14.2 (International), HarmonyOS 4.2 (China)",5050,Kirin 9010 (7 nm),Octa-core (1x2.3 GHz Taishan Big & 3x2.18 GHz Taishan Mid & 4x1.55 GHz  Cortex-A510),8,460,EMUI,14.2,Kirin,Octa-core,,3
huawei,Huawei Pura 70,40999,512,12,"LTPO OLED, 1B colors, HDR, 120Hz, 2500 nits (peak)",6.6,1256 x 2760,"EMUI 14.2 (International), HarmonyOS 4.2 (China)",4900,Kirin 9000S1,Octa-core,8,460,EMUI,14.2,Kirin,Octa-core,,3
huawei,Huawei nova 11,17250,256,8,"OLED, 1B colors, HDR10, 120Hz",6.7,1084 x 2412,HarmonyOS 3.0,4500,Qualcomm SM7325 Snapdragon 778G 4G (6 nm),Octa-core (4x2.4 GHz Kryo 670 & 4x1.8 GHz Kryo 670),Adreno 642L,391,HarmonyOS,3,Qualcomm,Octa-core,Adreno,3
huawei,Huawei Pura 70 Ultra,60999,1000,16,"LTPO OLED, 1B colors, HDR, 120Hz, 2500 nits (peak)",6.8,1260 x 2844,"EMUI 14.2 (International), HarmonyOS 4.2 (China)",5200,Kirin 9010 (7 nm),Octa-core (1x2.3 GHz Taishan Big & 3x2.18 GHz Taishan Mid & 4x1.55 GHz  Cortex-A510),8,460,EMUI,14.2,Kirin,Octa-core,,3
huawei,Huawei Pura 70 Pro,40999,1000,12,"LTPO OLED, 1B colors, HDR, 120Hz, 2500 nits (peak)",6.8,1260 x 2844,"EMUI 14.2 (International), HarmonyOS 4.2 (China)",5050,Kirin 9010 (7 nm),Octa-core (1x2.3 GHz Taishan Big & 3x2.18 GHz Taishan Mid & 4x1.55 GHz  Cortex-A510),8,460,EMUI,14.2,Kirin,Octa-core,,3
huawei,Huawei Pura 70 Pro,40999,512,12,"LTPO OLED, 1B colors, HDR, 120Hz, 2500 nits (peak)",6.8,1260 x 2844,"EMUI 14.2 (International), HarmonyOS 4.2 (China)",5050,Kirin 9010 (7 nm),Octa-core (1x2.3 GHz Taishan Big & 3x2.18 GHz Taishan Mid & 4x1.55 GHz  Cortex-A510),8,460,EMUI,14.2,Kirin,Octa-core,,3
huawei,Huawei Pura 70 Ultra,60999,1000,16,"LTPO OLED, 1B colors, HDR, 120Hz, 2500 nits (peak)",6.8,1260 x 2844,"EMUI 14.2 (International), HarmonyOS 4.2 (China)",5200,Kirin 9010 (7 nm),Octa-core (1x2.3 GHz Taishan Big & 3x2.18 GHz Taishan Mid & 4x1.55 GHz  Cortex-A510),8,460,EMUI,14.2,Kirin,Octa-core,,3
