Product Name,Price,Product Csv name
Samsung Galaxy A05 128GB ,7200,Samsung Galaxy A05
Samsung Galaxy A05 128GB ,7200,Samsung Galaxy A05
Samsung Galaxy A05s 128GB ,7840,Samsung Galaxy A05s
Samsung Galaxy Tab S9 FE 256GB ,12399,Samsung Galaxy Tab S9 FE
Samsung Galaxy S23 FE 256GB ,23999,Samsung Galaxy S23 FE
Samsung Galaxy S23 FE 256GB ,23999,Samsung Galaxy S23 FE
Samsung Galaxy S23 FE 256GB ,23999,Samsung Galaxy S23 FE
Samsung Galaxy Z Flip5 512GB ,38710,Samsung Galaxy Z Flip5
Samsung Galaxy A15 128GB ,10199,Samsung Galaxy A15
Samsung Galaxy A15 128GB ,10199,Samsung Galaxy A15
Samsung Galaxy S24 Ultra 512GB ,61949,Samsung Galaxy S24 Ultra
Samsung Galaxy S24 Ultra 1000GB ,61949,Samsung Galaxy S24 Ultra
Samsung Galaxy S24+ 512GB ,61949,Samsung Galaxy S24+
Samsung Galaxy A35 128GB ,13999,Samsung Galaxy A35
Samsung Galaxy A35 256GB ,14945,Samsung Galaxy A35
Samsung Galaxy A55 256GB ,18499,Samsung Galaxy A55
Samsung Galaxy A55 256GB ,18499,Samsung Galaxy A55
Samsung Galaxy S24 256GB ,36382,Samsung Galaxy S24
Samsung Galaxy Z Flip5 512GB ,38710,Samsung Galaxy Z Flip5
Samsung Galaxy S24 512GB ,61949,Samsung Galaxy S24
Samsung Galaxy Z Flip6 512GB ,47165,Samsung Galaxy Z Flip6
Samsung Galaxy Z Fold6 512GB ,69999,Samsung Galaxy Z Fold6
Samsung Galaxy S24 FE 256GB ,25149,Samsung Galaxy S24 FE
Samsung Galaxy S24 FE 512GB ,61949,Samsung Galaxy S24 FE
Samsung Galaxy A25 256GB ,13699,Samsung Galaxy A25
Samsung Galaxy A15 5G 128GB ,10199,Samsung Galaxy A15 5G
Samsung Galaxy A14 128GB ,9652,Samsung Galaxy A14
Samsung Galaxy A14 128GB ,9652,Samsung Galaxy A14
Samsung Galaxy S23 256GB ,34074,Samsung Galaxy S23
Samsung Galaxy S23 512GB ,46299,Samsung Galaxy S23
Samsung Galaxy S23+ 512GB ,46299,Samsung Galaxy S23+
Samsung Galaxy M15 128GB ,10505,Samsung Galaxy M15
Samsung Galaxy A34 128GB ,17226,Samsung Galaxy A34
Samsung Galaxy S23 Ultra 256GB ,43930,Samsung Galaxy S23 Ultra
Samsung Galaxy S23 Ultra 512GB ,46299,Samsung Galaxy S23 Ultra
Samsung Galaxy S23 Ultra 1000GB ,46299,Samsung Galaxy S23 Ultra
Samsung Galaxy A54 128GB ,16589,Samsung Galaxy A54
Samsung Galaxy A54 256GB ,19576,Samsung Galaxy A54
Samsung Galaxy Z Fold5 512GB ,57785,Samsung Galaxy Z Fold5
Samsung Galaxy Z Flip5 512GB ,38710,Samsung Galaxy Z Flip5
Samsung Galaxy A05 128GB ,7200,Samsung Galaxy A05
Samsung Galaxy A05s 128GB ,7840,Samsung Galaxy A05s
Samsung Galaxy A05s 128GB ,7840,Samsung Galaxy A05s
Samsung Galaxy S23 FE 256GB ,23999,Samsung Galaxy S23 FE
Samsung Galaxy A34 256GB ,18315,Samsung Galaxy A34
Samsung Galaxy Z Flip5 512GB ,38710,Samsung Galaxy Z Flip5
Samsung Galaxy Z Fold5 512GB ,57785,Samsung Galaxy Z Fold5
Samsung Galaxy Z Flip6 512GB ,47165,Samsung Galaxy Z Flip6
Samsung Galaxy Z Flip5 512GB ,38710,Samsung Galaxy Z Flip5
Samsung Galaxy A05s 128GB ,7840,Samsung Galaxy A05s
Samsung Galaxy A05s 128GB ,7840,Samsung Galaxy A05s
Samsung Galaxy Tab S9 FE+ 256GB ,12399,Samsung Galaxy Tab S9 FE+
Samsung Galaxy S23 FE 256GB ,23999,Samsung Galaxy S23 FE
Samsung Galaxy Z Fold5 512GB ,57785,Samsung Galaxy Z Fold5
Samsung Galaxy A54 128GB ,16589,Samsung Galaxy A54
Samsung Galaxy M15 128GB ,10505,Samsung Galaxy M15
Samsung Galaxy Z Fold6 512GB ,69999,Samsung Galaxy Z Fold6
Samsung Galaxy S24 FE 256GB ,25149,Samsung Galaxy S24 FE
Samsung Galaxy S24 FE 512GB ,61949,Samsung Galaxy S24 FE
Samsung Galaxy A25 256GB ,13699,Samsung Galaxy A25
Samsung Galaxy A15 5G 128GB ,10199,Samsung Galaxy A15 5G
Samsung Galaxy A14 128GB ,9652,Samsung Galaxy A14
Samsung Galaxy A14 128GB ,9652,Samsung Galaxy A14
Samsung Galaxy S23 256GB ,34074,Samsung Galaxy S23
Samsung Galaxy S23 512GB ,46299,Samsung Galaxy S23
Samsung Galaxy S23+ 512GB ,46299,Samsung Galaxy S23+
Samsung Galaxy A34 256GB ,18315,Samsung Galaxy A34
Samsung Galaxy S23 Ultra 512GB ,46299,Samsung Galaxy S23 Ultra
Samsung Galaxy S23 Ultra 1000GB ,46299,Samsung Galaxy S23 Ultra
Samsung Galaxy A54 256GB ,19576,Samsung Galaxy A54
Samsung Galaxy S24 512GB ,61949,Samsung Galaxy S24
Samsung Galaxy S24 256GB ,36382,Samsung Galaxy S24
Samsung Galaxy A55 256GB ,18499,Samsung Galaxy A55
Samsung Galaxy A55 256GB ,18499,Samsung Galaxy A55
Samsung Galaxy A35 256GB ,14945,Samsung Galaxy A35
Samsung Galaxy A35 128GB ,13999,Samsung Galaxy A35
Samsung Galaxy S24+ 512GB ,61949,Samsung Galaxy S24+
Samsung Galaxy S24 Ultra 1000GB ,61949,Samsung Galaxy S24 Ultra
Samsung Galaxy S24 Ultra 512GB ,61949,Samsung Galaxy S24 Ultra
Samsung Galaxy A15 256GB ,11154,Samsung Galaxy A15
Samsung Galaxy A15 128GB ,10199,Samsung Galaxy A15
Samsung Galaxy A15 128GB ,10199,Samsung Galaxy A15
Samsung Galaxy A15 128GB ,10199,Samsung Galaxy A15
Samsung Galaxy S24 Ultra 512GB ,61949,Samsung Galaxy S24 Ultra
Samsung Galaxy A14 128GB ,9652,Samsung Galaxy A14
Samsung Galaxy S23 256GB ,34074,Samsung Galaxy S23
Samsung Galaxy S23 512GB ,46299,Samsung Galaxy S23
Samsung Galaxy S23 256GB ,34074,Samsung Galaxy S23
Samsung Galaxy S23 256GB ,34074,Samsung Galaxy S23
Samsung Galaxy S23 512GB ,46299,Samsung Galaxy S23
Samsung Galaxy S23+ 512GB ,46299,Samsung Galaxy S23+
