Product Name,Price,Product Csv name
Realme 11 Pro 256GB ,0,Realme 11 Pro
Realme 11 256GB ,0,Realme 11
Realme C53 256GB ,0,Realme C53
Realme C55 256GB ,0,Realme C55
Realme C53 256GB ,0,Realme C53
Realme 11 Pro 256GB ,0,Realme 11 Pro
8 512GB ,0,8
Realme Note 50 128GB ,0,Realme Note 50
Realme 12 Pro+ 256GB ,0,Realme 12 Pro+
Realme C65 128GB ,0,Realme C65
Realme 12+ 256GB ,0,Realme 12+
Samsung Galaxy A05 128GB ,0,Samsung Galaxy A05
Samsung Galaxy A05 128GB ,0,Samsung Galaxy A05
Samsung Galaxy A05s 128GB ,0,Samsung Galaxy A05s
Samsung Galaxy Tab S9 FE 256GB ,0,Samsung Galaxy Tab S9 FE
Samsung Galaxy S23 FE 256GB ,0,Samsung Galaxy S23 FE
Samsung Galaxy S23 FE 256GB ,0,Samsung Galaxy S23 FE
Samsung Galaxy S23 FE 256GB ,0,Samsung Galaxy S23 FE
Samsung Galaxy Z Flip5 512GB ,0,Samsung Galaxy Z Flip5
Samsung Galaxy A15 128GB ,0,Samsung Galaxy A15
Samsung Galaxy A15 128GB ,0,Samsung Galaxy A15
Samsung Galaxy S24 Ultra 512GB ,0,Samsung Galaxy S24 Ultra
Samsung Galaxy S24 Ultra 1000GB ,0,Samsung Galaxy S24 Ultra
Samsung Galaxy S24+ 512GB ,0,Samsung Galaxy S24+
Samsung Galaxy A35 128GB ,0,Samsung Galaxy A35
Samsung Galaxy A35 256GB ,0,Samsung Galaxy A35
Samsung Galaxy A55 256GB ,0,Samsung Galaxy A55
Samsung Galaxy A55 256GB ,0,Samsung Galaxy A55
Samsung Galaxy M55 256GB ,0,Samsung Galaxy M55
Samsung Galaxy S24 256GB ,0,Samsung Galaxy S24
Samsung Galaxy Z Flip5 512GB ,0,Samsung Galaxy Z Flip5
Samsung Galaxy S24 512GB ,0,Samsung Galaxy S24
Samsung Galaxy Z Flip6 512GB ,0,Samsung Galaxy Z Flip6
Samsung Galaxy Z Fold6 512GB ,0,Samsung Galaxy Z Fold6
Samsung Galaxy Z Fold6 1000GB ,0,Samsung Galaxy Z Fold6
Samsung Galaxy S24 FE 256GB ,0,Samsung Galaxy S24 FE
Samsung Galaxy S24 FE 512GB ,0,Samsung Galaxy S24 FE
Samsung Galaxy A25 256GB ,0,Samsung Galaxy A25
Samsung Galaxy A15 5G 128GB ,0,Samsung Galaxy A15 5G
Samsung Galaxy A14 128GB ,0,Samsung Galaxy A14
Samsung Galaxy A14 128GB ,0,Samsung Galaxy A14
Samsung Galaxy S23 256GB ,0,Samsung Galaxy S23
Samsung Galaxy S23 512GB ,0,Samsung Galaxy S23
Samsung Galaxy S23+ 512GB ,0,Samsung Galaxy S23+
Samsung Galaxy M15 128GB ,0,Samsung Galaxy M15
Samsung Galaxy A34 128GB ,0,Samsung Galaxy A34
Samsung Galaxy S23 Ultra 256GB ,0,Samsung Galaxy S23 Ultra
Samsung Galaxy S23 Ultra 512GB ,0,Samsung Galaxy S23 Ultra
Samsung Galaxy S23 Ultra 1000GB ,0,Samsung Galaxy S23 Ultra
Samsung Galaxy A54 128GB ,0,Samsung Galaxy A54
Samsung Galaxy A54 256GB ,0,Samsung Galaxy A54
Samsung Galaxy Z Fold5 512GB ,0,Samsung Galaxy Z Fold5
Samsung Galaxy Z Fold5 1000GB ,0,Samsung Galaxy Z Fold5
Samsung Galaxy Z Flip5 512GB ,0,Samsung Galaxy Z Flip5
Samsung Galaxy A05 128GB ,0,Samsung Galaxy A05
Samsung Galaxy A05s 128GB ,0,Samsung Galaxy A05s
Samsung Galaxy A05s 128GB ,0,Samsung Galaxy A05s
Samsung Galaxy S23 FE 256GB ,0,Samsung Galaxy S23 FE
Samsung Galaxy A34 256GB ,0,Samsung Galaxy A34
Samsung Galaxy Z Flip5 512GB ,0,Samsung Galaxy Z Flip5
Samsung Galaxy Z Fold5 1000GB ,0,Samsung Galaxy Z Fold5
Samsung Galaxy Z Fold5 512GB ,0,Samsung Galaxy Z Fold5
Samsung Galaxy Z Flip6 512GB ,0,Samsung Galaxy Z Flip6
Samsung Galaxy Z Flip5 512GB ,0,Samsung Galaxy Z Flip5
Samsung Galaxy A05s 128GB ,0,Samsung Galaxy A05s
Samsung Galaxy A05s 128GB ,0,Samsung Galaxy A05s
Samsung Galaxy Tab S9 FE+ 256GB ,0,Samsung Galaxy Tab S9 FE+
Samsung Galaxy S23 FE 256GB ,0,Samsung Galaxy S23 FE
Samsung Galaxy Z Fold5 1000GB ,0,Samsung Galaxy Z Fold5
Samsung Galaxy Z Fold5 512GB ,0,Samsung Galaxy Z Fold5
Samsung Galaxy A54 128GB ,0,Samsung Galaxy A54
Samsung Galaxy M15 128GB ,0,Samsung Galaxy M15
Samsung Galaxy Z Fold6 512GB ,0,Samsung Galaxy Z Fold6
Samsung Galaxy Z Fold6 1000GB ,0,Samsung Galaxy Z Fold6
Samsung Galaxy S24 FE 256GB ,0,Samsung Galaxy S24 FE
Samsung Galaxy S24 FE 512GB ,0,Samsung Galaxy S24 FE
Samsung Galaxy A25 256GB ,0,Samsung Galaxy A25
Samsung Galaxy A15 5G 128GB ,0,Samsung Galaxy A15 5G
Samsung Galaxy A14 128GB ,0,Samsung Galaxy A14
Samsung Galaxy A14 128GB ,0,Samsung Galaxy A14
Samsung Galaxy S23 256GB ,0,Samsung Galaxy S23
Samsung Galaxy S23 512GB ,0,Samsung Galaxy S23
Samsung Galaxy S23+ 512GB ,0,Samsung Galaxy S23+
Samsung Galaxy A34 256GB ,0,Samsung Galaxy A34
Samsung Galaxy S23 Ultra 512GB ,0,Samsung Galaxy S23 Ultra
Samsung Galaxy S23 Ultra 1000GB ,0,Samsung Galaxy S23 Ultra
Samsung Galaxy A54 256GB ,0,Samsung Galaxy A54
Samsung Galaxy S24 512GB ,0,Samsung Galaxy S24
Samsung Galaxy S24 256GB ,0,Samsung Galaxy S24
Samsung Galaxy M55 256GB ,0,Samsung Galaxy M55
Samsung Galaxy A55 256GB ,0,Samsung Galaxy A55
Samsung Galaxy A55 256GB ,0,Samsung Galaxy A55
Samsung Galaxy A35 256GB ,0,Samsung Galaxy A35
Samsung Galaxy A35 128GB ,0,Samsung Galaxy A35
Samsung Galaxy S24+ 512GB ,0,Samsung Galaxy S24+
Samsung Galaxy S24 Ultra 1000GB ,0,Samsung Galaxy S24 Ultra
Samsung Galaxy S24 Ultra 512GB ,0,Samsung Galaxy S24 Ultra
Samsung Galaxy A15 256GB ,0,Samsung Galaxy A15
Samsung Galaxy A15 128GB ,0,Samsung Galaxy A15
Samsung Galaxy A15 128GB ,0,Samsung Galaxy A15
Samsung Galaxy A15 128GB ,0,Samsung Galaxy A15
Samsung Galaxy M35 256GB ,0,Samsung Galaxy M35
Samsung Galaxy S24 Ultra 512GB ,0,Samsung Galaxy S24 Ultra
Samsung Galaxy A14 128GB ,0,Samsung Galaxy A14
Samsung Galaxy S23 256GB ,0,Samsung Galaxy S23
Samsung Galaxy S23 512GB ,0,Samsung Galaxy S23
Samsung Galaxy S23 256GB ,0,Samsung Galaxy S23
Samsung Galaxy S23 256GB ,0,Samsung Galaxy S23
Samsung Galaxy S23 512GB ,0,Samsung Galaxy S23
Samsung Galaxy S23+ 512GB ,0,Samsung Galaxy S23+
Samsung Galaxy S23+ 512GB ,0,Samsung Galaxy S23+
Samsung Galaxy S23+ 512GB ,0,Samsung Galaxy S23+
Samsung Galaxy A34 128GB ,0,Samsung Galaxy A34
Samsung Galaxy S23 Ultra 256GB ,0,Samsung Galaxy S23 Ultra
Samsung Galaxy S23 Ultra 512GB ,0,Samsung Galaxy S23 Ultra
Samsung Galaxy S23 Ultra 1000GB ,0,Samsung Galaxy S23 Ultra
Samsung Galaxy S23 Ultra 256GB ,0,Samsung Galaxy S23 Ultra
Samsung Galaxy A54 128GB ,0,Samsung Galaxy A54
Samsung Galaxy A15 5G 256GB ,0,Samsung Galaxy A15 5G
Samsung Galaxy A54 256GB ,0,Samsung Galaxy A54
Samsung Galaxy A15 5G 128GB ,0,Samsung Galaxy A15 5G
Samsung Galaxy A25 256GB ,0,Samsung Galaxy A25
Samsung Galaxy A15 128GB ,0,Samsung Galaxy A15
Samsung Galaxy A55 256GB ,0,Samsung Galaxy A55
Samsung Galaxy A55 256GB ,0,Samsung Galaxy A55
Samsung Galaxy S24 256GB ,0,Samsung Galaxy S24
Samsung Galaxy S24 256GB ,0,Samsung Galaxy S24
Samsung Galaxy S24 512GB ,0,Samsung Galaxy S24
Samsung Galaxy S24 256GB ,0,Samsung Galaxy S24
Samsung Galaxy Z Flip6 512GB ,0,Samsung Galaxy Z Flip6
Samsung Galaxy Z Flip6 512GB ,0,Samsung Galaxy Z Flip6
Samsung Galaxy Z Fold6 512GB ,0,Samsung Galaxy Z Fold6
Samsung Galaxy Z Fold6 1000GB ,0,Samsung Galaxy Z Fold6
Samsung Galaxy Z Fold6 512GB ,0,Samsung Galaxy Z Fold6
Samsung Galaxy Z Fold6 1000GB ,0,Samsung Galaxy Z Fold6
Samsung Galaxy A06 128GB ,0,Samsung Galaxy A06
Samsung Galaxy S24 FE 256GB ,0,Samsung Galaxy S24 FE
Samsung Galaxy S24 FE 512GB ,0,Samsung Galaxy S24 FE
Samsung Galaxy S24 FE 256GB ,0,Samsung Galaxy S24 FE
Samsung Galaxy S24 FE 512GB ,0,Samsung Galaxy S24 FE
Samsung Galaxy A25 256GB ,0,Samsung Galaxy A25
Samsung Galaxy A15 5G 128GB ,0,Samsung Galaxy A15 5G
Samsung Galaxy A24 4G 128GB ,0,Samsung Galaxy A24 4G
Samsung Galaxy S24 512GB ,0,Samsung Galaxy S24
