phone_brand,phone_model,price_usd,storage,ram,launch_date,dimensions,weight,display_type,display_size,display_resolution,os,nfc,usb,battery,colors,video,chipset,cpu,gpu,year,foldable,ppi_density,price_range,os_type,os_version,battery_size,colors_available,chip_company,cpu_core,gpu_company,fingerprint,video_resolution
xiaomi,Xiaomi Redmi 13C,82.24,128,6,11/10/2023,168 x 78 x 8.1 mm (6.61 x 3.07 x 0.32 in),192,"IPS LCD, 90Hz, 450 nits (typ), 600 nits (HBM)",6.74,720 x 1600,"Android 13, MIUI 14",1,USB Type-C 2.0,5000,"Midnight Black, Navy Blue, Glacier White, Clover Green",1080p@30fps,Mediatek MT6769Z Helio G85 (12 nm),Octa-core (2x2.0 GHz Cortex-A75 & 6x1.8 GHz Cortex-A55),Mali-G52 MC2,1/1/2023,0,260,low price,Android,13,Large,4,Mediatek,Octa-core,Mali,side,1080p
xiaomi,Xiaomi Poco X6 Pro,342.77,512,12,1/12/2024,160.5 x 74.3 x 8.3 mm (6.32 x 2.93 x 0.33 in),186,"AMOLED, 68B colors, 120Hz, HDR10+, Dolby Vision, 500 nits (typ), 1200 nits (HBM), 1800 nits (peak)",6.67,1220 x 2712,"Android 14, up to 3 major Android upgrades, HyperOS",1,"USB Type-C 2.0, OTG",5000,"Black, Yellow, Gray","4K@24/30fps, 1080p@30/60fps, gyro-EIS",Mediatek Dimensity 8300 Ultra (4 nm),Octa-core (1x3.35 GHz Cortex-A715 & 3x3.20 GHz Cortex-A715 & 4x2.20 GHz Cortex-A510),Mali G615-MC6,1/1/2024,0,446,medium price,Android,14,Large,3,Mediatek,Octa-core,Mali,under,4K
xiaomi,Xiaomi Poco X6 Pro,369,256,12,1/12/2024,160.5 x 74.3 x 8.3 mm (6.32 x 2.93 x 0.33 in),186,"AMOLED, 68B colors, 120Hz, HDR10+, Dolby Vision, 500 nits (typ), 1200 nits (HBM), 1800 nits (peak)",6.67,1220 x 2712,"Android 14, up to 3 major Android upgrades, HyperOS",1,"USB Type-C 2.0, OTG",5000,"Black, Yellow, Gray","4K@24/30fps, 1080p@30/60fps, gyro-EIS",Mediatek Dimensity 8300 Ultra (4 nm),Octa-core (1x3.35 GHz Cortex-A715 & 3x3.20 GHz Cortex-A715 & 4x2.20 GHz Cortex-A510),Mali G615-MC6,1/1/2024,0,446,medium price,Android,14,Large,3,Mediatek,Octa-core,Mali,under,4K
xiaomi,Xiaomi Redmi Note 13,111,256,12,1/10/2024,161.1 x 75 x 7.6 mm (6.34 x 2.95 x 0.30 in),174.5,"AMOLED, 1B colors*, 120Hz, 1000 nits (peak)",6.67,1080 x 2400,"Android 13, up to 3 major Android upgrades, HyperOS",1,"USB Type-C 2.0, OTG",5000,"Graphite black (Stealth Black), Arctic White, Ocean Teal, Prism Gold",1080p@30fps,Mediatek Dimensity 6080 (6 nm),Octa-core (2x2.4 GHz Cortex-A76 & 6x2.0 GHz Cortex-A55),Mali-G57 MC2,1/1/2024,0,395,low price,Android,13,Large,4,Mediatek,Octa-core,Mali,side,1080p
xiaomi,Xiaomi Redmi Note 13,755,256,8,1/10/2024,161.1 x 75 x 7.6 mm (6.34 x 2.95 x 0.30 in),174.5,"AMOLED, 1B colors*, 120Hz, 1000 nits (peak)",6.67,1080 x 2400,"Android 13, up to 3 major Android upgrades, HyperOS",1,"USB Type-C 2.0, OTG",5000,"Graphite black (Stealth Black), Arctic White, Ocean Teal, Prism Gold",1080p@30fps,Mediatek Dimensity 6080 (6 nm),Octa-core (2x2.4 GHz Cortex-A76 & 6x2.0 GHz Cortex-A55),Mali-G57 MC2,1/1/2024,0,395,medium price,Android,13,Large,4,Mediatek,Octa-core,Mali,side,1080p
xiaomi,Xiaomi Poco X6,228,512,12,1/12/2024,161.2 x 74.3 x 8 mm (6.35 x 2.93 x 0.31 in),181,"AMOLED, 68B colors, 120Hz, Dolby Vision, 500 nits (typ), 1200 nits (HBM), 1800 nits (peak)",6.67,1220 x 2712,"Android 13, up to 3 major Android upgrades, HyperOS",1,"USB Type-C 2.0, OTG",5100,"Black, White, Blue","4K@30fps, 1080p@30/60fps, gyro-EIS",Qualcomm SM7435-AB Snapdragon 7s Gen 2 (4 nm),Octa-core (4x2.40 GHz Cortex-A78 & 4x1.95 GHz Cortex-A55),Adreno 710,1/1/2024,0,446,medium price,Android,13,Large,3,Qualcomm,Octa-core,Adreno,under,4K
xiaomi,Xiaomi Poco X6,235.37,256,12,1/12/2024,161.2 x 74.3 x 8 mm (6.35 x 2.93 x 0.31 in),181,"AMOLED, 68B colors, 120Hz, Dolby Vision, 500 nits (typ), 1200 nits (HBM), 1800 nits (peak)",6.67,1220 x 2712,"Android 13, up to 3 major Android upgrades, HyperOS",1,"USB Type-C 2.0, OTG",5100,"Black, White, Blue","4K@30fps, 1080p@30/60fps, gyro-EIS",Qualcomm SM7435-AB Snapdragon 7s Gen 2 (4 nm),Octa-core (4x2.40 GHz Cortex-A78 & 4x1.95 GHz Cortex-A55),Adreno 710,1/1/2024,0,446,medium price,Android,13,Large,3,Qualcomm,Octa-core,Adreno,under,4K
xiaomi,Xiaomi Redmi Note 13 4G,169,128,8,1/15/2024,162.3 x 75.6 x 8 mm (6.39 x 2.98 x 0.31 in),188.5,"AMOLED, 120Hz, 1800 nits (peak)",6.67,1080 x 2400,"Android 13, up to 3 major Android upgrades, HyperOS",1,"USB Type-C 2.0, OTG",5000,"Midnight Black, Mint Green, Ice Blue, Ocean Sunset",1080p@30fps,Qualcomm SM6225 Snapdragon 685 (6 nm),Octa-core (4x2.8 GHz Cortex-A73 & 4x1.9 GHz Cortex-A53),Adreno 610,1/1/2024,0,395,medium price,Android,13,Large,4,Qualcomm,Octa-core,Adreno,under,1080p
xiaomi,Xiaomi Redmi Note 13 Pro+,289.12,256,12,9/21/2023,161.4 x 74.2 x 8.9 mm (6.35 x 2.92 x 0.35 in),199,"AMOLED, 68B colors, 120Hz, Dolby Vision, HDR10+, 1800 nits (peak)",6.67,1220 x 2712,"Android 13, up to 3 major Android upgrades, HyperOS",1,"USB Type-C 2.0, OTG",5000,"Midnight Black (Fushion Black), Moonlight White (Fushion White), Aurora Purple, Fushion Purple, Camo Green","4K@24/30fps, 1080p@30/60/120fps, gyro-EIS",Mediatek Dimensity 7200 Ultra (4 nm),Octa-core (2x2.8 GHz Cortex-A715 & 6x2.0 GHz Cortex-A510),Mali-G610 MC4,1/1/2023,0,446,medium price,Android,13,Large,5,Mediatek,Octa-core,Mali,under,4K
xiaomi,Xiaomi Redmi Note 13 Pro,218.27,256,12,9/21/2023,161.2 x 74.2 x 8 mm (6.35 x 2.92 x 0.31 in),187,"AMOLED, 68B colors, 120Hz, Dolby Vision, 500 nits (typ), 1200 nits (HBM), 1800 nits (peak)",6.67,1220 x 2712,"Android 13, up to 3 major Android upgrades, HyperOS",1,"USB Type-C 2.0, OTG",5100,"Midnight Black, Aurora Purple (Coral Purple), Ocean Teal, Arctic White, Olive Green, Scarlet Red","4K@30fps, 1080p@30/60/120fps, gyro-EIS",Qualcomm SM7435-AB Snapdragon 7s Gen 2 (4 nm),Octa-core (4x2.40 GHz Cortex-A78 & 4x1.95 GHz Cortex-A55),Adreno 710,1/1/2023,0,446,medium price,Android,13,Large,6,Qualcomm,Octa-core,Adreno,under,4K
