Description,Product Name,Image,Rating,Price
Cep Telefonu Modeli:iPhone 5S; Uyumlu Marka:Apple Uyumlu;,Asus ROG Phone 8 Pro,https://cdn.dsmcdn.com/ty295/product/media/images/20220113/2/25735806/357502165/1/1_org_zoom.jpg,,72.999
Uyumlu Marka:Asus Uyumlu;,Asus Zenfone 11 Ultra,https://cdn.dsmcdn.com/ty1349/product/media/images/prod/QC/20240604/11/4cce3d8b-0235-377e-b971-9f3e8fefeb3b/1_org_zoom.jpg,,72.999
"Kozmetik Durum:A seviye-Mükemmel; Dahili Hafıza:256 GB; Garanti Süresi:1 Yıl; Renk:Mavi; Ana Kamera Çözünürlük Aralığı:20 - 40 MP; Ekran Boyutu:6,67 inç; RAM Kapasitesi:8 GB; Cep Telefonu Modeli:Xiaomi Mi 10T Pro;",Blackview A96,https://cdn.dsmcdn.com/ty1402/product/media/images/prod/QC/20240704/20/4d9134f3-91db-3770-8643-f43d4cc1455b/1_org_zoom.jpg,,72.999
"Garanti Tipi:Resmi Distribütör Garantili; Kamera Çözünürlüğü:108 MP + 5 MP + 12 MP + 2 MP; Dahili Hafıza:512 GB; RAM Kapasitesi:8 GB; Ekran Boyutu:6,7 inç; Pil Gücü (mAh):4000 - 5000; Mobil Bağlantı Hızı:5G; Ön Kamera Çözünürlüğü:10 - 20 MP; Cep Telefonu Modeli:Honor 7; Ön Kamera Sayısı:1; Ekran Çözünürlüğü:FHD+; Ekran Teknolojisi:FHD+; Ön Kamera Çözünürlük Aralığı:15 - 20 MP; Görüntü Teknolojisi:AMOLED; Ana Kamera Flaş:Var; Ön Kamera Flaş:Var; Ekran Cinsi:OLED; Arka Kamera Sayısı:2; Ekran Boyut Aralığı:6.5'' - 7''; İşletim Sistemi:Android; Çift Hat:Var; Kablosuz Şarj:Var; Yüz Tanıma:Var; Dokunmatik Ekran:Var; Garanti Süresi:2 Yıl; Şarj Girişi:USB Type-C; Ana Kamera Çözünürlük Aralığı:5 - 10 MP; NFC:Var; Ekran Yenileme Hızı:120 Hz; Kulaklık Girişi:USB Type-C; Video Kayıt Çözünürlüğü:720p (HD); Şarj Hızı:40-60 W; Arttırılabilir Hafıza (Hafıza Kartı Desteği):Yok; Batarya Kapasitesi Aralığı:6000-7000 mAh; Parmak İzi Okuyucu:Var; Suya/Toza Dayanıklılık:Var; Renk:Siyah; Yapay Zeka:Var; Menşei:CN; Tamir Edilebilirlik:Yetkili Servis ile Tamiri Gerekir.;",Honor Magic5 Lite,https://cdn.dsmcdn.com/ty1667/prod/QC/20250417/18/d31add13-d70f-370e-a2f8-48cf8e2d29ea/1_org_zoom.jpg,,72.999
"Garanti Tipi:Resmi Distribütör Garantili; Kamera Çözünürlüğü:20 MP ve üstü; Dahili Hafıza:512 GB; RAM Kapasitesi:12 GB; Ekran Boyutu:6,8 inç; Pil Gücü (mAh):4000 - 5000; Mobil Bağlantı Hızı:5G; Ön Kamera Çözünürlüğü:10 - 20 MP; Cep Telefonu Modeli:Honor 7; Ön Kamera Sayısı:1; Ekran Çözünürlüğü:FHD+; Ön Kamera Çözünürlük Aralığı:40 - 60 MP; Görüntü Teknolojisi:AMOLED; Ana Kamera Flaş:Var; Ön Kamera Flaş:Var; Ekran Cinsi:AMOLED; Arka Kamera Sayısı:4; İşletim Sistemi:Android; Çift Hat:Var; Kablosuz Şarj:Var; Yüz Tanıma:Var; Dokunmatik Ekran:Var; Garanti Süresi:2 Yıl; Şarj Girişi:USB Type-C; Ana Kamera Çözünürlük Aralığı:5 - 10 MP; NFC:Var; Ekran Yenileme Hızı:120 Hz; Kulaklık Girişi:USB Type-C; Şarj Hızı:10-20 W; Arttırılabilir Hafıza (Hafıza Kartı Desteği):Var; Batarya Kapasitesi Aralığı:2000-3000 mAh; Parmak İzi Okuyucu:Var; Suya/Toza Dayanıklılık:Var; Renk:Beyaz; Yapay Zeka:Yok;",Honor Magic5 Pro,https://cdn.dsmcdn.com/ty1638/prod/QC/20250218/20/717e7181-664d-3222-86e4-ffe02d009525/1_org_zoom.jpg,5.0,"53.507,02"
Kapasite:256 GB; Çözünürlük:2560 x 1600; Ekran Boyutu:12 inç; Kamera Çözünürlüğü:10 - 15 MP; İşletim Sistemi:Android; Bellek Kapasitesi:4 - 16 GB; Garanti Tipi:Resmi Distribütör Garantili; Renk:Gri; Bağlantılar:USB-C; İşlemci Çekirdek Sayısı:2; İşlemci Tipi:Qualcomm Snapdragon; Ram (Sistem Belleği):8 GB; Görüntüleme Teknolojisi:LCD; Bluetooth:Var; Garanti Süresi:2 Yıl; Menşei:CN; HDMI:Yok; Hızlı Şarj:Yok; Sim Kart Uyumu:Yok;,Honor X8a,https://cdn.dsmcdn.com/ty1538/product/media/images/ty1537/prod/QC/20240912/16/32d1c337-5232-306b-9dc9-87f3a51e9af8/1_org_zoom.jpg,4.7,10.699
Materyal:Silikon; Cep Telefonu Modeli:Honor 90; Renk:Siyah; Uyumlu Marka:Honor Uyumlu; Garanti Süresi:Belirtilmemiş; Garanti Tipi:İthalatçı Garantili;,Honor 90,https://cdn.dsmcdn.com/ty1336/product/media/images/prod/QC/20240529/10/1c6d9406-6235-3f59-862b-03a50eadba9f/1_org_zoom.jpg,3.5,"99,99"
Materyal:Silikon; Cep Telefonu Modeli:Honor 8S; Renk:Siyah; Uyumlu Marka:Huawei Uyumlu; Menşei:HK;,Honor X8b,https://cdn.dsmcdn.com/ty222/product/media/images/20211103/8/164407763/286921896/1/1_org_zoom.jpg,5.0,124
Materyal:Silikon; Cep Telefonu Modeli:Honor 8S; Renk:Siyah; Uyumlu Marka:Huawei Uyumlu; Menşei:HK;,Honor X7b,https://cdn.dsmcdn.com/ty1440/product/media/images/prod/QC/20240725/15/22552a7f-7f39-3cdb-b452-d204631b460e/1_org_zoom.jpg,,124
"Garanti Tipi:Resmi Distribütör Garantili; Kamera Çözünürlüğü:20 MP ve üstü; Dahili Hafıza:512 GB; RAM Kapasitesi:12 GB; Ekran Boyutu:6,8 inç; Pil Gücü (mAh):4000 - 5000; Mobil Bağlantı Hızı:5G; Ön Kamera Çözünürlüğü:10 - 20 MP; Cep Telefonu Modeli:Honor 7; Ön Kamera Sayısı:1; Ekran Çözünürlüğü:FHD+; Ön Kamera Çözünürlük Aralığı:40 - 60 MP; Görüntü Teknolojisi:AMOLED; Ana Kamera Flaş:Var; Ön Kamera Flaş:Var; Ekran Cinsi:AMOLED; Arka Kamera Sayısı:4; İşletim Sistemi:Android; Çift Hat:Var; Kablosuz Şarj:Var; Yüz Tanıma:Var; Dokunmatik Ekran:Var; Garanti Süresi:2 Yıl; Şarj Girişi:USB Type-C; Ana Kamera Çözünürlük Aralığı:5 - 10 MP; NFC:Var; Ekran Yenileme Hızı:120 Hz; Kulaklık Girişi:USB Type-C; Şarj Hızı:10-20 W; Arttırılabilir Hafıza (Hafıza Kartı Desteği):Var; Batarya Kapasitesi Aralığı:2000-3000 mAh; Parmak İzi Okuyucu:Var; Suya/Toza Dayanıklılık:Var; Renk:Beyaz; Yapay Zeka:Yok;",Honor Magic6 Pro,https://cdn.dsmcdn.com/ty1638/prod/QC/20250218/20/717e7181-664d-3222-86e4-ffe02d009525/1_org_zoom.jpg,5.0,"53.507,02"
