Description,Product Name,Image,Rating
"Garanti Tipi:Xiaomi Türkiye Garantili; Dahili Hafıza:256 GB; RAM Kapasitesi:8 GB; Ekran Boyutu:6,5 inç; Pil Gücü (mAh):5000 ve üstü; Mobil Bağlantı Hızı:4.5G; Ön Kamera Çözünürlüğü:13 MP; Kamera Çözünürlüğü:108 MP + 2 MP + 2MP; Cep Telefonu Modeli:Xiaomi Redmi 13; Ön Kamera Sayısı:1; Ekran Çözünürlüğü:FHD+; Ekran Teknolojisi:HD+; Ön Kamera Çözünürlük Aralığı:10 - 15 MP; Görüntü Teknolojisi:LCD; Ana Kamera Flaş:Var; Ön Kamera Flaş:Var; Ekran Cinsi:LCD; Arka Kamera Sayısı:2; Ekran Boyut Aralığı:6.5'' - 7''; İşletim Sistemi:Android; Çift Hat:Var; Kablosuz Şarj:Yok; Yüz Tanıma:Var; Dokunmatik Ekran:Var; Garanti Süresi:2 Yıl; Şarj Girişi:USB Type-C; Ana Kamera Çözünürlük Aralığı:100 -120 MP; NFC:Var; Ekran Yenileme Hızı:90 Hz; Kulaklık Girişi:3.5 mm; Video Kayıt Çözünürlüğü:1080p (Full HD); Şarj Hızı:10-20 W; Arttırılabilir Hafıza (Hafıza Kartı Desteği):Var; Batarya Kapasitesi Aralığı:5000-6000 mAh; Parmak İzi Okuyucu:Var; Suya/Toza Dayanıklılık:Var; Renk:Siyah; Yapay Zeka:Yok; Menşei:AD;",Xiaomi 13 256GB,https://cdn.dsmcdn.com/ty1398/product/media/images/prod/QC/20240703/12/341a3237-e169-3285-a851-b3ab061ebc4c/1_org_zoom.jpg,4.6
"Garanti Tipi:Apple Türkiye Garantili; Kamera Çözünürlüğü:20 MP ve üstü; Dahili Hafıza:128 GB; Ekran Boyutu:6,1 inç; Mobil Bağlantı Hızı:5G; RAM Kapasitesi:6 GB; Pil Gücü (mAh):3000 - 4000; Cep Telefonu Modeli:iPhone 15; Ön Kamera Çözünürlüğü:12 MP; Ön Kamera Çözünürlük Aralığı:10 - 15 MP; Arka Kamera Sayısı:2; Kablosuz Şarj:Yok; İşletim Sistemi:iOS; Garanti Süresi:2 Yıl; Ekran Boyut Aralığı:6'' - 6.5''; Yüz Tanıma:Var; Görüntü Teknolojisi:LCD; Ekran Teknolojisi:FHD+; Ekran Cinsi:FHD Süper AMOLED; Ön Kamera Sayısı:1; Dokunmatik Ekran:Var; Ekran Çözünürlüğü:FHD+; Çift Hat:Var; Batarya Kapasitesi Aralığı:3000-3500 mAh; Ana Kamera Çözünürlük Aralığı:40 - 60 MP; Şarj Hızı:10-20 W; Kulaklık Girişi:USB Type-C; Parmak İzi Okuyucu:Var; Ekran Yenileme Hızı:144 Hz; Radio:Yok; Şarj Girişi:USB Type-C; NFC:Var; CPU Aralık:2.0-2.5 GHz; Görüntülü Konuşma:Var; Video Kayıt Çözünürlüğü:4320p (Ultra HD) 8K; Suya/Toza Dayanıklılık:Var; Renk:Siyah; Yapay Zeka:Var;",Iphone 15,https://cdn.dsmcdn.com/ty1004/product/media/images/prod/PIM/20230921/05/6b271e78-72e8-4e99-b856-076d135a91d4/1_org_zoom.jpg,4.7
"Garanti Tipi:Apple Türkiye Garantili; Kamera Çözünürlüğü:20 MP ve üstü; Dahili Hafıza:128 GB; Ekran Boyutu:6,26 inç; Mobil Bağlantı Hızı:5G; RAM Kapasitesi:8 GB; Pil Gücü (mAh):3000 - 4000; Cep Telefonu Modeli:iPhone 16 Pro; Ön Kamera Çözünürlüğü:12 MP; Ön Kamera Çözünürlük Aralığı:10 - 15 MP; Arka Kamera Sayısı:3; Kablosuz Şarj:Var; İşletim Sistemi:iOS; Garanti Süresi:2 Yıl; Ekran Boyut Aralığı:6'' - 6.5''; Yüz Tanıma:Var; Görüntü Teknolojisi:SXRD; Ekran Teknolojisi:FHD+; Ekran Cinsi:OLED; Ön Kamera Sayısı:1; Dokunmatik Ekran:Var; Ekran Çözünürlüğü:FHD+; Çift Hat:Var; Batarya Kapasitesi Aralığı:3500-4000 mAh; Ana Kamera Çözünürlük Aralığı:80 - 100 MP; Şarj Hızı:20-40 W; Kulaklık Girişi:USB Type-C; Parmak İzi Okuyucu:Yok; Ekran Yenileme Hızı:120 Hz; Radio:Yok; Şarj Girişi:USB Type-C; NFC:Var; Görüntülü Konuşma:Var; Video Kayıt Çözünürlüğü:2160p (Ultra HD) 4K; Suya/Toza Dayanıklılık:Var; Renk:Bej; Yapay Zeka:Var; Menşei:CN;",iPhone 16 Pro,https://cdn.dsmcdn.com/ty1608/prod/QC/20241202/10/0ac10e2e-037c-3eef-b8a2-6b7aa7d9563e/1_org_zoom.jpg,4.7
Materyal:Silikon; Cep Telefonu Modeli:Samsung Galaxy S24 Ultra; Renk:Siyah; Uyumlu Marka:Samsung Uyumlu; Menşei:CN; Bakım Talimatları (Genel):Nemli bir bezle silin.;,Samsung Galaxy S24 Ultra,https://cdn.dsmcdn.com/ty1670/prod/QC/20250427/15/3c0c485e-254a-3e76-a5d3-8757409f0050/1_org_zoom.jpg,
Materyal:Silikon; Cep Telefonu Modeli:Samsung Galaxy S24 Ultra; Renk:Siyah; Uyumlu Marka:Samsung Uyumlu; Menşei:CN; Bakım Talimatları (Genel):Nemli bir bezle silin.;,Google Pixel 9 Pro,https://cdn.dsmcdn.com/ty1580/prod/QC/20241008/11/67daf676-a20f-340a-9ecb-af19b7df974b/1_org_zoom.jpg,
Uyumlu Marka:Huawei Uyumlu;,Huawei Mate XT Ultimate Design,https://cdn.dsmcdn.com/ty1590/prod/QC/20241024/16/f6b76bf2-85ac-33b4-b2c1-0cc480520eea/1_org_zoom.jpg,
"Garanti Tipi:Resmi Distribütör Garantili; Dahili Hafıza:512 GB; RAM Kapasitesi:16 GB; Ekran Boyutu:6,7 inç; Pil Gücü (mAh):6000; Mobil Bağlantı Hızı:4G; Ön Kamera Sayısı:1; Ekran Çözünürlüğü:HD; Ekran Teknolojisi:HD; Ön Kamera Çözünürlüğü:32 MP; Görüntü Teknolojisi:AMOLED; Ekran Cinsi:HD; Arka Kamera Sayısı:2; İşletim Sistemi:Android; Garanti Süresi:2 Yıl; NFC:Var; Parmak İzi Okuyucu:Var; Renk:Gri;",vivo X200 Pro,https://cdn.dsmcdn.com/ty1630/prod/QC/20250128/07/c40e0986-c7d2-3467-a9ce-6a5a4c8a5f39/1_org_zoom.jpg,5
Garanti Süresi:2 Yıl; Bağlantı Tipi:USB Type C; Garanti Tipi:Resmi Distribütör Garantili; Hızlı Şarj:Var; Renk:Beyaz; Menşei:AD; CE Uygunluk Sembolu:Ürün görselinde bulunuyor; Tamir Edilebilirlik:Yetkili Servis ile Tamiri Gerekir.;,Motorola Bükülebilir Telefon,https://cdn.dsmcdn.com/ty1608/prod/QC/20241202/10/eecd8f26-5d76-3abd-b909-d2f11d79271b/1_org_zoom.jpg,4.7
"Garanti Tipi:Honor Türkiye Garantili; Kamera Çözünürlüğü:20 MP; Dahili Hafıza:256 GB; Ekran Boyutu:7,0 inç; Pil Gücü (mAh):5160; Mobil Bağlantı Hızı:5G; Ön Kamera Çözünürlüğü:32 MP; RAM Kapasitesi:256 MB RAM; Cep Telefonu Modeli:Honor 7; Ön Kamera Sayısı:2; Ekran Çözünürlüğü:UHD+; Ekran Teknolojisi:QLED; Ön Kamera Çözünürlük Aralığı:20 - 40 MP; Görüntü Teknolojisi:OLED; Ana Kamera Flaş:Var; Ön Kamera Flaş:Var; Ekran Cinsi:OLED; Arka Kamera Sayısı:2; Ekran Boyut Aralığı:7'' Üstü; İşletim Sistemi:HarmonyOS; Çift Hat:Var; Kablosuz Şarj:Var; Yüz Tanıma:Var; Dokunmatik Ekran:Var; Garanti Süresi:2 Yıl; Şarj Girişi:USB Type-C; Ana Kamera Çözünürlük Aralığı:120 MP ve üstü; NFC:Var; Ekran Yenileme Hızı:60 Hz; Kulaklık Girişi:USB Type-C; Video Kayıt Çözünürlüğü:720p (HD); Şarj Hızı:60-80 W; Arttırılabilir Hafıza (Hafıza Kartı Desteği):Var; Batarya Kapasitesi Aralığı:4500-5000 mAh; Parmak İzi Okuyucu:Var; Suya/Toza Dayanıklılık:Var; Renk:Mor; Yapay Zeka:Var; Menşei:VI; CE Uygunluk Sembolu:Ürün görselinde bulunuyor; Tamir Edilebilirlik:Yetkili Servis ile Tamiri Gerekir.;",HONOR Magic6 Pro,https://cdn.dsmcdn.com/ty1663/prod/QC/20250416/17/5cdec9cf-71ea-3e10-b85e-f32cd3633daf/1_org_zoom.jpg,
"Garanti Tipi:Xiaomi Türkiye Garantili; Kamera Çözünürlüğü:20 MP ve üstü; Dahili Hafıza:512 GB; RAM Kapasitesi:12 GB; Ekran Boyutu:6,67 inç; Pil Gücü (mAh):5000 ve üstü; Mobil Bağlantı Hızı:4G; Ön Kamera Çözünürlüğü:32 MP; Ön Kamera Sayısı:1; Ekran Çözünürlüğü:FHD+; Ekran Teknolojisi:FHD+; Ön Kamera Çözünürlük Aralığı:20 - 40 MP; Görüntü Teknolojisi:AMOLED; Ana Kamera Flaş:Var; Ön Kamera Flaş:Var; Ekran Cinsi:AMOLED; Arka Kamera Sayısı:3; Ekran Boyut Aralığı:6.5'' - 7''; İşletim Sistemi:Android; Çift Hat:Var; Kablosuz Şarj:Yok; Yüz Tanıma:Var; Dokunmatik Ekran:Var; Garanti Süresi:2 Yıl; Şarj Girişi:USB Type-C; Ana Kamera Çözünürlük Aralığı:120 MP ve üstü; NFC:Var; Ekran Yenileme Hızı:120 Hz; Kulaklık Girişi:3.5 mm; Video Kayıt Çözünürlüğü:1080p (Full HD); Şarj Hızı:40-60 W; Arttırılabilir Hafıza (Hafıza Kartı Desteği):Var; Batarya Kapasitesi Aralığı:5000-6000 mAh; Parmak İzi Okuyucu:Var; Suya/Toza Dayanıklılık:Var; Renk:Siyah; Yapay Zeka:Yok; Menşei:CN;",Xiaomi 14 Pro,https://cdn.dsmcdn.com/ty1623/product/media/images/prod/PIM/20250114/11/8cf65e46-fb70-40b3-85db-e094c958a1de/1_org_zoom.jpg,4.2
